EmployeeID,LastName,FirstName,Department,Salary
821,Pearson,Anita,Engineering,119917.99
15018,Chen,Alexander,Engineering,118304.79
334,Liu,Alicia,Engineering,115245.92
15635,Ramos,Angela,Engineering,113822.47
771,Stout,Ashley,Engineering,113402.19
15337,Garcia,Alex,Engineering,107116.73
825,Sanchez,Andrew,Engineering,101220.9
15485,Coleman,Andrew,Engineering,106653.4
985,Fisher,Angela,Engineering,99975.89
15100,Robbins,Amy,Engineering,96811.36
82,Green,Anthony,Engineering,94993.85
15727,Miller,Anthony,Engineering,95737.21
917,West,Alexis,Engineering,92513.26
15540,Perkins,Anne,Engineering,86409.5
261,Hensley,Amanda,Engineering,81907.0
15681,Peterson,Angela,Engineering,83369.91
403,Cook,Amy,Engineering,80585.49
15866,Mccarthy,Angela,Engineering,74736.68
103,Knox,April,Engineering,74933.87
15908,Brooks,Anthony,Engineering,69268.86
28,Gray,Ashley,Engineering,73999.11
15231,Foster,Amy,Engineering,68121.59
240,Harris,April,Engineering,65311.23
15339,Fernandez,Andrea,Finance,108520.52
946,Robinson,Amber,Finance,105953.04
15468,Roth,Anita,Finance,107341.49
820,Wilson,Anna,Finance,98672.06
15515,Gallegos,Andrew,Finance,102084.73
656,Rodriguez,Antonio,Finance,98105.04
15037,Baker,Austin,Finance,98470.15
339,Hahn,Amber,Finance,80589.8
15640,Dixon,Andrew,Finance,90035.96
24,Flores,Allison,Finance,80276.96
15987,Williams,Alison,Finance,85663.92
679,Adams,Allison,Finance,71069.0
15816,Potter,Andrew,Finance,75507.63
712,Winters,Amber,Finance,69114.39
15035,Stevens,Alexis,Finance,73125.68
186,Robles,Andrew,Finance,67358.9
15645,Conner,Adam,Finance,71124.87
347,Henderson,Anne,Finance,61299.35
15979,Thomas,Aaron,Finance,70295.0
231,Oliver,Alan,Finance,60666.66
15780,Munoz,Amanda,Finance,65284.62
582,Roberts,Alvin,Finance,59291.11
15366,Navarro,Amy,Finance,63970.7
595,Morris,Ashley,HR,88634.56
15931,Heath,Anthony,Finance,61847.04
329,Fuentes,Angela,HR,88496.32
15320,Rodriguez,Angela,Finance,59898.32
685,Mcdaniel,Angela,HR,87992.55
15175,Brown,Andrew,Finance,59233.68
139,Webster,Angela,HR,85712.07
15116,Ramirez,Audrey,HR,82055.64
796,Adkins,Andrea,HR,75672.01
15115,Watson,Alexander,HR,73594.65
58,Jones,Alexander,HR,73838.7
15405,Peters,Allen,HR,69448.57
52,Carpenter,Alicia,HR,72198.94
15531,Shaw,Amber,HR,64454.64
777,Bates,Alexis,HR,61832.38
15732,Morales,Ashley,HR,60633.46
295,Cruz,Abigail,HR,61697.0
15443,Frank,Andrew,HR,60294.69
375,Dickerson,Andrew,HR,59786.61
15157,Novak,Aaron,HR,50990.44
852,White,Amanda,HR,55911.59
15537,Davis,Ashley,IT,108771.62
835,Lara,Andres,HR,55081.45
15721,Jimenez,Angel,IT,106091.28
211,Allen,Alan,HR,54514.89
15275,Munoz,Angela,IT,92661.88
611,Mcknight,Amy,HR,52046.21
15986,Davidson,Amy,IT,89515.12
373,Greene,Adam,IT,113693.77
15290,Owen,Amanda,IT,81165.46
514,Sandoval,Ann,IT,108683.92
15691,Henry,Angela,IT,79398.04
786,Jones,Amy,IT,108460.87
15985,Macdonald,Alexandria,IT,75298.54
863,Roberts,Ashley,IT,107886.23
15117,Brown,Ann,IT,75192.91
862,Smith,Amy,IT,98817.23
15441,Miller,April,IT,74207.86
84,Dennis,Andrew,IT,92645.65
15342,Taylor,Adam,IT,67079.35
900,Norman,Alec,IT,88089.82
15464,Hester,Ashley,IT,62991.94
547,Keith,Angela,IT,85648.82
15304,Chavez,Alexandria,Legal,111613.14
95,Goodwin,Ashley,IT,64750.64
15782,Page,Adam,Legal,96125.23
417,Lopez,Aaron,Legal,109587.0
15801,Robinson,Anthony,Legal,93558.37
138,Jackson,Angela,Legal,93038.24
15328,Burns,Alan,Legal,83248.2
895,Ray,April,Legal,77629.46
15604,Castro,Alejandro,Legal,76848.34
275,Ramirez,Anna,Legal,71156.59
15702,White,Aaron,Legal,76565.35
488,Ellis,Adriana,Marketing,94838.5
15851,Reed,Amy,Legal,76364.21
727,Lam,Alyssa,Marketing,91706.58
15841,Sandoval,Ashley,Legal,69066.05
551,Turner,Amy,Marketing,91471.47
15412,Hopkins,Arthur,Legal,67868.73
669,Simmons,Adam,Marketing,90491.1
15216,Yates,Andrew,Marketing,99323.04
361,Taylor,Adriana,Marketing,83873.32
15335,Silva,Angel,Marketing,95136.34
711,Smith,Angela,Marketing,71888.42
15722,Hale,Allison,Marketing,91783.63
719,Harris,Alex,Marketing,58455.74
15010,Warner,Amy,Marketing,87035.52
276,Joyce,Albert,Marketing,58255.92
15663,Stephens,Andrew,Marketing,83812.59
729,Johnson,Abigail,Marketing,58140.54
15168,Morris,Amy,Marketing,83139.38
884,Smith,Andrew,Marketing,56732.56
15740,Martin,Anthony,Marketing,82000.52
976,Pierce,Adam,Marketing,52423.59
15756,Brooks,Alex,Marketing,75187.18
536,Brown,Andrew,Marketing,51715.26
15139,Johnson,Andrew,Marketing,74766.43
953,Collins,Aaron,Sales,82883.91
15299,Schroeder,Ashley,Marketing,74040.79
696,Rodriguez,Ann,Sales,77517.28
15452,Reese,Adam,Marketing,73532.18
910,Smith,Amanda,Sales,77215.72
15881,Hale,Alexander,Marketing,70313.81
381,Gross,Angela,Sales,74555.82
15859,Gordon,Antonio,Marketing,65627.43
616,Bradley,Angela,Sales,73502.72
15875,Snyder,Allison,Marketing,62637.36
185,Young,Anita,Sales,69887.31
15349,Williams,Aaron,Marketing,60266.31
839,Peters,Anna,Sales,65340.52
15490,Osborne,Antonio,Marketing,54978.46
77,Anderson,Amber,Sales,59855.17
15556,Dixon,Anna,Marketing,50682.65
673,Martin,April,Sales,48514.05
15671,Dominguez,Amanda,Sales,88621.05
130,Wilson,Antonio,Sales,45159.43
15344,Miller,Ashley,Sales,88549.0
85,Coffey,Aaron,Support,73455.85
15751,Cunningham,Austin,Sales,88397.96
187,Walton,April,Support,69770.49
15970,Vaughn,Ana,Sales,85402.62
288,Robertson,Anna,Support,69576.79
15580,Espinoza,Ashley,Sales,84665.31
819,Garza,Amber,Support,67954.63
15714,Fisher,Alyssa,Sales,83788.52
585,Clark,Angela,Support,62727.86
15332,Fletcher,Angela,Sales,77981.14
939,Waters,Aaron,Support,58725.28
15788,Mills,Amanda,Sales,75230.81
14,Marsh,Andrew,Support,58100.62
15351,Mcdaniel,Alan,Sales,72584.99
768,Gray,Andrew,Support,55630.36
15959,Gill,Alex,Sales,69062.75
430,Reed,Adam,Support,55226.32
15754,Hughes,Alexander,Sales,67219.85
521,Hamilton,Angie,Support,49766.7
15196,Moss,Anna,Sales,65563.7
38,Li,Adam,Support,49122.22
15821,Scott,Alan,Sales,64113.29
188,Rodriguez,Abigail,Support,46981.46
15993,Jackson,Angela,Sales,61979.34
1284,Cox,Anthony,Engineering,116360.71
3491,Hill,Amy,Engineering,116436.29
7636,Hicks,Angelica,Engineering,117885.53
15435,Garza,Aaron,Sales,57962.01
1356,Poole,Ashley,Engineering,113815.87
3369,Butler,Angela,Engineering,113854.22
7378,Diaz,Angela,Engineering,116502.78
15530,Taylor,Aaron,Sales,51697.21
1612,Kelley,Amanda,Engineering,102821.72
3934,Williams,Andrea,Engineering,107781.95
7225,Rose,Ashley,Engineering,112560.47
15950,Grant,Allison,Sales,47610.7
1812,Luna,Aaron,Engineering,101703.47
3272,Olson,Angela,Engineering,103310.56
7528,Smith,Amy,Engineering,110264.63
15295,Kennedy,Anna,Sales,45417.34
1556,Johnson,Alyssa,Engineering,98779.21
3913,Kelly,Anthony,Engineering,96004.98
7208,Cruz,Angelica,Engineering,108677.81
15376,Smith,Andrew,Support,79443.87
1871,Fox,Amber,Engineering,95023.9
3291,Tanner,Anita,Engineering,90976.51
7081,Carr,Audrey,Engineering,107887.05
15676,Davis,Allen,Support,74357.64
1965,Vasquez,Adam,Engineering,86572.05
3928,Gibson,Alison,Engineering,89445.59
7280,Schmitt,Andrea,Engineering,101634.58
15944,Clark,Antonio,Support,72584.82
1288,Villarreal,Ashley,Engineering,85439.12
3605,Mason,Andrew,Engineering,87745.07
7056,Andrews,Angela,Engineering,96525.32
15682,Robinson,April,Support,72110.39
1394,Ali,Amy,Engineering,85033.03
3424,Mills,Allen,Engineering,84037.06
7122,Gray,Amanda,Engineering,93080.37
15715,Patel,April,Support,65616.64
1160,Williams,Amanda,Engineering,77772.81
3233,Mcguire,Allen,Engineering,79710.22
7458,Scott,Alexis,Engineering,86997.26
15449,Wood,Aaron,Support,63661.27
1274,Fox,Alfred,Engineering,66456.19
3489,Lopez,Angela,Engineering,71270.31
7808,Cooper,Aaron,Engineering,85034.01
15776,Butler,Antonio,Support,61215.63
1273,Ramos,Amber,Finance,107926.97
3384,Chen,Antonio,Engineering,62218.14
7580,Frank,Amanda,Engineering,84318.61
15876,Davis,Angela,Support,57908.42
1705,Carter,Andrea,Finance,107356.25
3869,Rodriguez,Allison,Finance,102493.85
7999,Hobbs,Anthony,Engineering,65366.81
15110,Kane,Anna,Support,54431.0
1799,Wilson,Amy,Finance,106104.01
3547,Walker,Albert,Finance,84299.59
7062,Garcia,Amanda,Engineering,61718.7
15968,Fisher,Angela,Support,52910.57
1862,Mills,Ashley,Finance,104143.18
3196,Webb,Angela,Finance,80504.3
7216,Small,Adrian,Engineering,61025.67
15573,Lee,Alexander,Support,50171.77
1486,Mcdaniel,Ashley,Finance,97508.75
3642,Brooks,Amanda,Finance,77224.01
7620,Black,Andrew,Finance,107126.74
15731,Preston,Angela,Support,47752.36
1534,Griffin,Anthony,Finance,97087.19
